Employee_Code,Position,Level,Last_drawn_salary_ per_ anum,Gender,Age,Performance_Rating_Y2017,Newcomers,Internal_years_of_exp,External_years_of_exp,Total_years_of_exp,entitled_leaves,Month_of_leaving,Reason_for_leaving,Vol_InVol,Function,Number_of_Sickleaves
AAA_1,Trainee,1,104087,Female,20,NA,New,10 months,0,0,15,16-Sep,Better opportunity,Vol,SCM,4
AAA_10,Trainee,1,107493,Male,22,NA,New,3 months,0,0,30,17-Mar,Background Check Failure,InVol,Sales & Promotion,2
AAA_100,Senior Manager,6,3185934,Male,44,,Old,9,13,22,7.5,16-Jun,Relation with superior,Vol,Quality Assurance & Control,26
AAA_11,Trainee,1,109730,Male,19,NA,New,3 months,0,0,22.5,16-Dec,Asked to Leave: Ethics code violation,InVol,Research & Development,23
AAA_12,Trainee,1,108512,Male,24,NA,New,3 months,0,0,30,17-Mar,Background Check Failure,InVol,Quality Assurance & Control,4
AAA_13,Trainee,1,103786,Male,19,NA,New,5 months,0,0,17.5,16-Oct,Background Check Failure,InVol,Admin,3
AAA_14,Trainee,1,107029,Male,20,NA,New,4 months,0,0,17.5,16-Oct,Further Studies,Vol,Warehouse,2
AAA_15,Trainee,1,107679,Male,19,NA,New,11 months,0,0,15,16-Sep,Family Reason,Vol,HR,20
AAA_16,Trainee,1,105218,Female,18,NA,New,11 months,0,0,20,16-Nov,Family Reason,Vol,Warehouse,17
AAA_17,Trainee,1,108739,Male,23,NA,New,9 months,0,0,27.5,17-Feb,Family Reason,Vol,Quality Assurance & Control,27
AAA_18,Trainee,1,101513,Female,18,NA,New,1 month,0,0,5,16-May,Family Reason,Vol,Sales & Promotion,1
AAA_19,Trainee,1,104251,Male,22,NA,New,3 months,0,0,30,17-Mar,Background Check Failure,InVol,Production,1
AAA_2,Director,7,11085665,Male,46,NA,Old,1,23,24,27.5,17-Feb,Relation with superior,Vol,Finance,9
AAA_20,Director,8,11336399,Male,48,A+,Old,26,1,27,10,16-Jul,Moving abroad within the company,Others,Sales & Promotion,5
AAA_21,Director,7,10669222,Male,47,A+,Old,15,10,25,25,17-Jan,Better opportunity,Vol,Strategy,29
AAA_22,Program Director,7,10125596,Male,55,,Old,33,2,35,2.5,16-Apr,Death,Others,Research & Development,1
AAA_23,Director,7,10653099,Male,57,A,Old,21,14,35,22.5,16-Dec,Better Salary Hike,Vol,Strategy,18
AAA_24,Director,8,11236399,Female,58,A,Old,7,28,35,20,16-Nov,Retirement,Others,Strategy,27
AAA_25,Director,8,11450948,Male,56,Z,Old,17,17,34,30,17-Mar,Poor Performance,InVol,Strategy,23
AAA_26,Director,7,11084645,Male,47,,Old,12,13,25,12.5,16-Aug,Better opportunity,Vol,HR,15
AAA_27,Executive,4,309836,Male,31,A+,Old,5,4,9,22.5,16-Dec,Relation with superior,Vol,Finance,3
AAA_28,Data Scientist,4,383488,Male,33,,Old,4,7,11,5,16-May,Better opportunity,Vol,Research & Development,21
AAA_29,Principal Biostatistician,6,3382126.105,Male,45,NA,Old,1,22,23,12.5,16-Aug,Limited growth,Vol,IT,5
AAA_3,Manager,5,1801155,Female,27,NA,Old,1,4,5,30,17-Mar,Job dissatisfaction,Vol,Legal,28
AAA_30,Analyst,3,278105,Male,26,A+,Old,4,0,4,22.5,16-Dec,Relation with superior,Vol,HR,30
AAA_31,Analyst,3,241606.125,Female,38,,Old,5,11,16,10,16-Jul,Relation with superior,Vol,Warehouse,9
AAA_32,Analyst,3,241602.125,Female,26,,Old,3,3,6,2.5,16-Apr,Death,Others,Research & Development,0
AAA_33,Executive,4,399094,Male,44,,Old,2,20,22,17.5,16-Oct,Better opportunity,Vol,IT,10
AAA_34,Executive,4,388864,Male,40,A,Old,2,16,18,22.5,16-Dec,Limited growth,Vol,Sales & Promotion,28
AAA_35,Executive,4,316542,Male,39,,Old,3,16,19,15,16-Sep,Relation with superior,Vol,Finance,11
AAA_36,Executive,4,334005,Female,33,A,Old,2,10,12,25,17-Jan,Job dissatisfaction,Vol,Production,27
AAA_37,Junior Executive,2,180170,Male,44,NA,Old,1,21,22,22.5,16-Dec,Bored and unchallenged by the work itself,Vol,Legal,20
AAA_38,Executive,4,396664,Female,34,Z,Old,2,11,13,20,16-Nov,Poor Performance,InVol,Quality Assurance & Control,10
AAA_39,Executive,4,305657,Male,32,A+,Old,8,2,10,22.5,16-Dec,Relation with superior,Vol,Sales & Promotion,4
